timestamp,x (mm),y (mm),z (mm)
1741709794.385073,-275.59130933339554,532.655155828341,173.93777424908728
1741709794.3960238,-275.5387644683393,532.6642006310847,173.929951906469
1741709794.4070344,-275.4299148748889,532.73862897543,173.93777424908728
1741709794.4180222,-275.3960711157833,532.747556461662,173.92212955304782
1741709794.4290237,-275.38181480131067,532.7638433510048,173.929951906469
1741709794.4400332,-275.36004332183086,532.7752569207317,173.93777424908728
1741709794.4509594,-275.3502242850073,532.7803079479075,173.929951906469
1741709794.462038,-275.3402281954233,532.7900369194247,173.93777424908728
1741709794.473024,-275.34222452819813,532.7788569471568,173.93777424908728
1741709794.4840536,-275.33311422480324,532.7886645020527,173.93777424908728
1741709794.4950337,-275.3258033681531,532.7840839313093,173.929951906469
1741709794.5059826,-275.32439291991903,532.7985691292095,173.929951906469
1741709794.5170474,-275.31905382703405,532.8018376182343,173.929951906469
1741709794.528017,-275.34528001046175,532.7870854025716,173.929951906469
1741709794.5390325,-275.33994641726804,532.7903460602106,173.929951906469
1741709794.5500457,-275.3628954930696,532.7831853764449,173.93777424908728
1741709794.5610445,-275.33426291448995,532.8079750968913,173.929951906469
1741709794.5720289,-275.3314166865453,532.800038648399,173.929951906469
1741709794.5830195,-275.3566614132875,532.781893102781,173.929951906469
1741709794.5939972,-275.342984423065,532.7980705892594,173.93777424908728
1741709794.6049967,-275.3260775931679,532.8033071366194,173.929951906469
1741709794.6160185,-275.3424938912068,532.7946601934844,173.93777424908728
1741709794.6269486,-275.3223959902171,532.8097485614819,173.929951906469
1741709794.6379964,-275.3220969045659,532.8095541025036,173.93777424908728
1741709794.649003,-275.3223959902171,532.8097485614819,173.929951906469
1741709794.660008,-275.2901258098429,532.8264225125706,173.929951906469
1741709794.6709428,-275.29665885387647,532.8279097790642,173.929951906469
1741709794.6820047,-275.29865641961925,532.8167306980428,173.929951906469
1741709794.6929939,-275.29568287081287,532.8279281875938,173.93777424908728
1741709794.7039664,-275.2938078029125,532.8199813106966,173.929951906469
1741709794.7150056,-275.2889582255095,532.8266529357521,173.929951906469
1741709794.7259982,-275.300543709267,532.8217611728512,173.92212955304782
1741709794.7369947,-275.2938078029125,532.8199813106966,173.929951906469
1741709794.7479508,-275.29865641961925,532.8167306980428,173.929951906469
1741709794.7590098,-275.29024745631926,532.8312944275901,173.93777424908728
1741709794.7699897,-275.28418807359185,532.82930143327,173.94559658089548
1741709794.7809987,-275.2747887565374,532.8394178104505,173.93777424908728
1741709794.7919772,-275.29665885387647,532.8279097790642,173.929951906469
1741709794.8029904,-275.31498293100555,532.8081816824001,173.93777424908728
1741709794.813999,-275.31923123068054,532.8211579636892,173.929951906469
1741709794.8249958,-275.2889582255095,532.8266529357521,173.929951906469
1741709794.8360076,-275.286283447091,532.8380446058275,173.929951906469
1741709794.8469937,-275.2917135601371,532.8346865202059,173.929951906469
1741709794.8580039,-275.2869603593005,532.8378317230829,173.929951906469
1741709794.869008,-275.2778482611397,532.8476375960854,173.929951906469
1741709794.8799717,-275.269939841545,532.8426679646167,173.93777424908728
1741709794.8910081,-275.28478642004546,532.8296905165378,173.929951906469
1741709794.9019892,-275.2838104325108,532.8297089058534,173.93777424908728
1741709794.9129884,-275.2938078029125,532.8199813106966,173.929951906469
1741709794.9239542,-275.2708245449323,532.8461678698391,173.929951906469
1741709794.9349701,-275.28478642004546,532.8296905165378,173.929951906469
1741709794.9459682,-275.29122344036796,532.8312760207432,173.929951906469
1741709794.9569845,-275.27984642429954,532.8364590846879,173.929951906469
1741709794.9679277,-275.3009217354309,532.8213539469882,173.929951906469
1741709794.9789877,-275.27984642429954,532.8364590846879,173.929951906469
1741709794.9899888,-275.29568287081287,532.8279281875938,173.93777424908728
1741709795.0009775,-275.3008252641489,532.8248802252436,173.929951906469
1741709795.0118752,-275.27499114615057,532.8431386045244,173.929951906469
1741709795.0229802,-275.28152484334885,532.8411977993435,173.929951906469
1741709795.033974,-275.29665885387647,532.8279097790642,173.929951906469
1741709795.0449727,-275.29024745631926,532.8312944275901,173.93777424908728
1741709795.0559342,-275.29122344036796,532.8312760207432,173.929951906469
1741709795.0669713,-275.2869603593005,532.8378317230829,173.929951906469
1741709795.0779846,-275.2778482611397,532.8476375960854,173.929951906469
1741709795.0889733,-275.28211154171623,532.841082023488,173.929951906469
1741709795.0999644,-275.2869603593005,532.8378317230829,173.929951906469
1741709795.1109927,-275.2778482611397,532.8476375960854,173.929951906469
